account_username,engagement,medEngagement
Drama-addict,204454,3438
Migrationology,526325,32108
Spriteder SPD,477377,7829
Noey Pannarai - เนยเจออันนี้,297886,362
Zom Marie,213866,10655
Pantipa.a,688325,23016
อยากเที่ยวก็เที่ยว,285711,362
I Roam Alone,600219,105332
ลงทุนแมน,210923,4139.5
VRZO,273960,1176.5
หมอเวร,167525,1943
Kyutae Oppa - คิวเท โอ็ปป้า,622767,32500
Beartai : แบไต๋,521595,426
หมูหิว,443609,1853
Djpetjah,298434,10083
wongnai.com,261593,152
สะพายกล้องท่องเที่ยว กับ มาเรีย ณ ไกลบ้าน,187678,364
มนุษย์ต่างวัย,192578,1311
หมอแล็บแพนด้า,286654,28406
พาทำ พาทาน,505897,7382
BoomTharis,210785,2741.5
Chillpainai,237004,480
Sean Buranahiran - ฌอน บูรณะหิรัญ,810065,24542
หนูน้อยบนยอดเขาอันหนาวเหน็บ,905648,16423
MONEYLAND,174826,4739
Forcejun,152220,2351
ลดพุง ลดโรค,178672,174.5
คาราโอเกะชั้นใต้ดิน,341328,101008
MUJI SAMA むじ さま,245325,6903
Ninja And The Gang,305109,9131.5
Tagple,1413834,144322
ผู้หญิง Salaryman Thailand,205965,4515
LowGrade,286655,21300
อีเจี๊ยบ เลียบด่วน,270478,24654
Bie The Ska,349609,4337
Brianna’s Secret Club,529564,322.5
Bo Vanda Sahawong,676987,15377
WeSneaker,361296,925
Guy Haru Family,442392,32749
สะบัดแปรง,480858,13888
Mai Yom Auon ไม่ยอมอ้วน,186961,3516
Jod  8riew,158395,12544
Little Monster,231258,4714
Slang A-hO-lic,498035,11222.5
กินไม่หยุด,246115,1428
Mawinfinferrr,300755,41155
ศุภชัย เสมอมิตร โหน่งโชว์,243826,12898
I'm Mayyr - Blog,280879,14910
เรียนเหอะ อยากสอน,158347,11404
Mojiko,168418,8696
ปรัชญากราฟิกฯ,158060,950
ข้าวจ้าว หมากวนตีน,388386,73933
KP ตะลอนแหลก,188593,1392
Gluta Story,371792,37109
Heartrocker,407715,32410
ม้าเฉียว ดูหุ้น The Future,427695,360.5
aomMONEY,255041,229
Starvingtime เรื่องกินเรื่องใหญ่,294665,2592
พลอยเรียนจบแล้วทำไรต่อ?,197265,10371
อีจัน,736443,3856.5
Ananped,286514,62010
กินไปไทยหรั่ง,292939,8257
อร่อยนัวร์,380732,21817
รักษ์ภาษาไทย,83743,3051.5
เรียนภาษาเกาหลีกับครูแอนนี่,143730,550.5
อ้วนจูนเนอร์,202612,8140.5
กับข้าวกับปลาโอ Plaocooking,762419,79589
หมีมีหม้อ,235280,5846
Basgamer,192613,6927
English Fit and Firm,181999,1560
ปันโปร - Punpromotion,202501,1245
Archita Station,235817,8699.5
TripTH ทริปไทยแลนด์,241695,5589
ไทยเรสซิ่ง-ThaiRacing,283215,10312
ทำกินเอง,243556,21205
Kru Whan : English On Air - ครูพี่หวาน,165986,4354.5
OHANA,318439,34670.5
Edward10516 : เอ็ดเวิร์ด,262240,6904
สอดอStyle,863802,10440
King SoYer,191929,21701.5
Lowcostcosplay,1070123,102823.5
หนูนาสวีเดน แฟนเฟจ,248464,10128
ผู้บริโภค,238966,3161
ReviewPapai - รีวิวพาไป,218605,159
ใต้เตียงดารา,201273,38341
Sundae Kids,235379,19672
Loi story,322977,456.5
KidmakGag,180208,1048
จอห์น ไรเดอร์ - John Rider,264982,4804
ชุมชนคนสร้างซิกแพ็ค sixpackclub.net,184588,4071.5
My Mate Nate,271710,14944.5
Amy Kitiya,252993,6921
Dr.Pakky หม่ามี้หมอเด็ก,266357,242.5
วิ่งแถวบ้าน : runfronthome,190734,185
ชีวิตติดรีวิว,627896,2956
Benz Apache - เบ๊น อาปาเช่,355236,7061
มี่ป๋อง,169395,3218
โบราณนานมา,299838,8170
กินได้อร่อยด้วย,293695,15504.5
Sneak out หนีเที่ยว,371977,2428.5
หม่อมถนัดแดก,477056,6863.5
เอ็ม รถซิ่งไทยแลนด์,298007,3469
เนสตี้ สไปร์ทซี่,271092,1387
ขอบสหนัง,195608,4092
Ozrealman,318096,24945
มูมมาม,364320,6654
Kaykai Salaider Channel,343415,17044
ครูโรซี่: British English,226990,2838
PIT START,297935,4653.5
PEACH EAT LAEK,372259,7666
บ้ารถ,195177,5899
Artteller,155943,209.5